"12,500,000", Abu Dhabi, Yas Island,The Magnolias,5 Beds,6 Baths,"7,550 sqft",Villa,For Sale,Bayut - 2627-Vl-S-0524,,,"August 19, 2022",,,,,,,https://www.bayut.com/property/details-5725197.html
"345,000", Dubai, Dubai Residence Complex,,Studio,1 Bath,320 sqft,Apartment,For Sale,Bayut - 2494-Ap-S-2637,Unfurnished,,"February 15, 2023",,,,,,,https://www.bayut.com/property/details-6868300.html
"4,500,000", Abu Dhabi, Al Shamkha,,6 Beds,7 Baths,"5,479 sqft",Villa,For Sale,Bayut - 2042-Vl-S-1727,,,"May 9, 2022",,,,,,,https://www.bayut.com/property/details-5934514.html
"1,150,000", Dubai, Business Bay,,1 Bed,1 Bath,682 sqft,Apartment,For Sale,Bayut - 3060-Ap-S-0545,,,"May 21, 2022",,,,,,,https://www.bayut.com/property/details-5969902.html
"1,450,000", Dubai, Jumeirah Village Circle (JVC),Catch Residences,2 Beds,3 Baths,"1,750 sqft",Apartment,For Sale,Bayut - CATHRES-2BHK-ZUB-8890,Furnished,,"November 21, 2022",,,,,,,https://www.bayut.com/property/details-6566384.html
"1,900,000", Sharjah, Sharjah Garden City,,3 Beds,5 Baths,"2,789 sqft",Villa,For Sale,Bayut - 1400-Vl-S-12950,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6862357.html
"720,000", Dubai, Dubai Studio City,,1 Bed,2 Baths,850 sqft,Apartment,For Sale,Bayut - 1400-Ap-S-12998,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6863363.html
"3,500,000", Dubai, Mohammed Bin Rashid City,District One Villas,4 Beds,5 Baths,"3,163 sqft",Villa,For Sale,Bayut - 1400-Vl-S-13023,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6863817.html
"2,600,000", Sharjah, Sharjah Garden City,,4 Beds,5 Baths,"5,259 sqft",Villa,For Sale,Bayut - 1400-Vl-S-13058,Unfurnished,,"February 15, 2023",,,,,,,https://www.bayut.com/property/details-6867653.html
"3,872,000", Dubai, Mohammed Bin Rashid City,Berkeley Place,3 Beds,4 Baths,"1,800 sqft",Apartment,For Sale,Bayut - 1400-Ap-S-12956,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6862800.html
"1,900,000", Dubai, Mohammed Bin Rashid City,MAG Eye,2 Beds,3 Baths,"1,195 sqft",Villa,For Sale,Bayut - 2750-Vl-S-0387,,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6862310.html
"2,099,548", Dubai, Dubai Marina,,1 Bed,2 Baths,748 sqft,Apartment,For Sale,Bayut - 646-Ap-S-8816,,,"February 15, 2023",,,,,,,https://www.bayut.com/property/details-6866462.html
"2,870,000", Dubai, Meydan City,"Azizi Riviera Reve,  Azizi Riviera",1 Bed,2 Baths,773 sqft,Apartment,For Sale,Bayut - 646-Ap-S-8899,,,"February 15, 2023",,,,,,,https://www.bayut.com/property/details-6866568.html
"920,000", Dubai, Jumeirah Village Circle (JVC),Binghatti Nova,2 Beds,3 Baths,"1,100 sqft",Apartment,For Sale,Bayut - 1400-Ap-S-12925,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6862335.html
"1,341,000", Dubai, Arjan,,2 Beds,3 Baths,"1,192 sqft",Apartment,For Sale,Bayut - MARG-ANJ-2008,,,"January 13, 2023",,,,,,,https://www.bayut.com/property/details-6753030.html
"820,000", Ras Al Khaimah, Mina Al Arab,,1 Bed,2 Baths,820 sqft,Apartment,For Sale,Bayut - 1400-Ap-S-12915,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6862247.html
"4,500,000", Abu Dhabi, Al Shamkha,,6 Beds,7 Baths,"5,000 sqft",Villa,For Sale,Bayut - 1400-Vl-S-12908,Unfurnished,,"February 14, 2023",,,,,,,https://www.bayut.com/property/details-6862245.html
"1,399,000", Sharjah,Sharjah Sustainable City,,3 Beds,4 Baths,"2,013 sqft",Villa,For Sale,Bayut - 974-Vl-S-0590,,,"September 3, 2022",,,,,,,https://www.bayut.com/property/details-6299892.html
